证券代码,证券简称,地域概念名称,板块代码,概念名称,收盘价(元),涨跌幅(%),涨跌(元),最高价(元),最低价(元),换手率(%),量比,成交量(股),成交额(元),最新股息率(%),总市值(亿元),流通市值(元),行业名称,分类
300319,麦捷科技,广东,创业板,"5G概念,新能源车,芯片概念,深圳特区,华为概念,小米概念,智能穿戴,5.5G,储能概念,粤港澳自贸区,手机产业,物联网,阿里概念,共封装光模块(CPO）,触摸屏概念,政府控股,融资融券,转融券标的,充电桩,东数西算/算力,摩尔线程概念,深股通,无人机,被动元件概念,英伟达概念,消费电子产业,人形机器人,国企改革,比亚迪概念,股权激励,科创企业同股同权,TMT,纳入富时罗素",14.1,2.69,0.37,15.58,14.07,14.29,1.41,121648669.0,1808628513.73,0.76,125.15,12002910102.0,电子-元件-被动元件,核心供应商
300322,硕贝德,广东,创业板,"北斗导航,半导体产业,5G概念,指纹识别,新能源车,特斯拉,元宇宙,芯片概念,华为概念,小米概念,智能穿戴,6G,5.5G,储能概念,粤港澳自贸区,无人驾驶,手机产业,无线充电,先进封装(Chiplet),物联网,机器人概念,毫米波,卫星互联网,车联网(车路协同),UWB,毫米波雷达,融资融券,AI眼镜,液冷概念,转融券标的,深股通,无人机,商业航天,华为手机,WIFI6,汽车电子概念,虹膜识别,消费电子产业,生物识别,比亚迪概念,太赫兹,服务器,TMT,科创企业同股同权,传感器,虚拟现实（VR）",15.8,3.0,0.46,16.56,15.79,4.84,1.19,21328311.0,345801787.81,-,72.69,6958806055.4,电子-消费电子-消费电子零部件及组装,核心供应商
300323,华灿光电,湖北,创业板,"半导体产业,LED概念,节能照明,芯片概念,第三代半导体,氮化镓,华为概念,手势识别,智能穿戴,MicroLED,物联网,共封装光模块(CPO）,政府控股,融资融券,深股通,转融券标的,蓝宝石,汽车电子概念,小盘股,消费电子产业,国企改革,科创企业同股同权,TMT,传感器,纳入富时罗素,虚拟现实（VR）,MiniLED",10.39,4.0,0.4,11.08,10.38,6.95,1.35,82581793.0,886136613.84,-,168.63,12340140722.34,电子-光学光电子-LED,核心供应商
300324,旋极信息,北京,创业板,"集成电路概念,半导体产业,区块链,财税改革,数字经济,芯片概念,独角兽概念,腾讯概念,通用航空,电子发票,物联网,云游戏,阿里概念,BIPV概念(光伏建筑一体化),华为鲲鹏,数据要素,车联网(车路协同),军工,智慧政务,融资融券,转融券标的,东数西算/算力,无人机,智能制造,商业航天,网络安全,数据中心,光伏概念,DeepSeek概念股,科创企业同股同权,智能医疗,大数据,北斗导航,华为概念,军民融合,信创,京津冀一体化,算力租赁,人工智能,军工信息化,AI算力芯片,数字孪生,大飞机,数字货币,医疗信息化,深股通,数字中国,智慧城市,国产软件,新材料,航天装备概念,时空大数据,TMT",3.73,5.67,0.2,3.81,3.61,3.41,1.82,58301300.0,216773504.33,-,64.44,6378265863.04,计算机-计算机设备-其他计算机设备,核心供应商
300326,ST凯利,上海,创业板,"ST概念,骨科材料,专精特新,医疗器械概念,科创企业同股同权,医疗耗材概念,健康中国",5.72,-0.35,-0.02,5.74,5.67,0.55,0.84,3959539.0,22585413.08,1.75,41.01,4099624826.44,医药生物-医疗器械-医疗耗材,专精特新
300327,中颖电子,,,,21.25,1.29,0.27,22.11,21.23,3.99,1.4,13511822.0,293851014.87,0.47,72.54,7200652408.75,电子-半导体-数字芯片设计,核心供应商
300328,宜安科技,广东,创业板,"有色金属概念,5G概念,新能源车,特斯拉,柔性屏,宁德时代概念,华为概念,小米概念,有机硅类,智能穿戴,汽车零部件概念,骨科材料,有色(镁),人工智能,手机产业,毫米波雷达,政府控股,医疗器械概念,融资融券,深股通,转融券标的,智能座舱,汽车压铸一体化,华为手机,铝概念,液态金属,商业航天,新材料,消费电子产业,人形机器人,国企改革,比亚迪概念,呼吸机,科创企业同股同权",12.83,2.64,0.33,13.2,12.0,8.39,1.25,57629852.0,734255797.75,-,88.58,8814755595.75,有色金属-工业金属-铝,核心供应商
300331,苏大维格,江苏,创业板,"全息技术,专精特新,烟草,AIPC,元宇宙,3D打印,芯片概念,柔性屏,华为概念,小米概念,文创玩具(谷子经济),纳米压印,智能穿戴,光刻机,增强现实（AR）,中芯国际概念,人工智能,手机产业,OLED,并购重组,电子纸,触摸屏概念,半导体设备概念,融资融券,转融券标的,深股通,体育产业,智能制造,华为手机,盲盒,26中报预增,光伏概念,新材料,太阳能概念,裸眼3D,科创企业同股同权,TMT,传感器,虚拟现实（VR）,筹码集中100,纳米银",36.66,-5.78,-2.25,39.3,36.33,6.33,0.7,14065470.0,523943495.13,-,95.19,8143315787.88,电子-光学光电子-光学元件,专精特新/核心供应商
300333,兆日科技,,,,8.87,0.0,0.0,8.87,8.87,-,0.0,-,-,-,29.8,2969499194.29,计算机-计算机设备-其他计算机设备,核心供应商
300337,银邦股份,江苏,创业板,"专精特新,海工装备,有色金属概念,新能源车,特斯拉,3D打印,宁德时代概念,小米概念,华为概念,军民融合,手机产业,富士康概念,牙科医疗,航母概念,军工,航空发动机,大飞机,医疗器械概念,融资融券,转融券标的,深股通,智能制造,华为手机,铝概念,核污染防治,麒麟电池,新材料,消费电子产业,比亚迪概念,高铁,科创企业同股同权,汽车热管理,含可转债",9.66,3.98,0.37,9.68,9.21,2.47,1.16,17550993.0,167704296.57,0.1,79.4,6872237128.26,有色金属-工业金属-铝,专精特新/核心供应商
300339,润和软件,江苏,创业板,"区块链,财税改革,中盘股,EDA设计软件,华为算力,病毒防治,芯片概念,华为海思概念,电力物联网,华为昇腾,边缘计算,华为星闪概念,无人驾驶,国产操作系统,物联网,人工智能大模型,阿里概念,机器人概念,华为鲲鹏,超节点,智慧政务,融资融券,华为汽车,东数西算/算力,转融券标的,网络安全,算力一体机,智能电网,蚂蚁金服概念,DeepSeek概念股,Gemini多模态,科创企业同股同权,智能医疗,纳入富时罗素,虚拟现实（VR）,华为欧拉,ERP概念,元宇宙,小米概念,华为概念,创投,CIPS概念,信创,互联网金融,智能家居,在线教育,人工智能,IT服务概念,数字货币,深股通,医疗信息化,智能座舱,智慧城市,华为鸿蒙,国产软件,人形机器人,虚拟数字人,无人银行,TMT,金融科技",37.74,6.76,2.39,38.77,35.98,5.95,2.17,46273416.0,1742890884.53,0.37,300.57,29349889151.58,计算机-IT服务Ⅱ-IT服务Ⅲ,核心供应商
300340,科恒股份,,,,8.23,0.86,0.07,8.29,8.14,2.15,0.78,5885680.0,48450109.8,-,22.67,2250601000.26,电力设备-电池-电池化学品,核心供应商
300342,天银机电,江苏,创业板,"北斗导航,节能环保,华为概念,军民融合,6G,太空算力,无人驾驶,毫米波,卫星互联网,军工,军工信息化,毫米波雷达,政府控股,低空经济,融资融券,家用电器概念,转融券标的,深股通,无人机,商业航天,小盘股,国企改革,航天装备概念,太赫兹,科创企业同股同权",30.81,5.37,1.57,31.91,30.12,4.45,1.35,18635590.0,581928731.9,0.06,130.95,12903192969.03,家用电器-家电零部件Ⅱ-家电零部件Ⅲ,核心供应商
300345,华民股份,湖南,创业板,"军工,BC电池,硅锰,智能制造,节能环保,智慧城市,华为概念,军民融合,光伏概念,储能概念,新材料,太阳能概念,智能电网,新质生产力,科创企业同股同权,TMT,碳中和,HJT/HIT电池,机器人概念,TOPCon电池",5.24,4.8,0.24,5.34,5.08,6.33,1.28,30407500.0,160076968.0,-,30.46,2517557088.24,电力设备-光伏设备-硅料硅片,核心供应商
300346,南大光电,江苏,创业板,"集成电路概念,半导体材料概念,半导体产业,专精特新,LED概念,节能照明,芯片概念,氮化镓,华为概念,中芯国际概念,磷化工,OLED,电子特气,光刻胶,融资融券,转融券标的,深股通,大基金二期,小盘股,光伏概念,氟化工概念,第四代半导体,长三角一体化,新材料,工业气体,存储器,科创企业同股同权,TMT,碳基半导体,纳入富时罗素",46.63,-3.58,-1.73,48.36,46.55,6.14,0.61,40304278.0,1899362669.49,0.99,322.29,30588815611.83,电子-电子化学品Ⅱ-电子化学品Ⅲ,专精特新/核心供应商
300348,长亮科技,广东,创业板,"区块链,华为算力,数字经济,化债(AMC),深圳特区,华为概念,CIPS概念,债转股,甲骨文概念,腾讯概念,信创,粤港澳自贸区,互联网金融,人工智能,阿里概念,RWA,华为鲲鹏,云计算,数据要素,数据安全,移动支付,融资融券,数字货币,深股通,转融券标的,智慧城市,华为鸿蒙,国产软件,一带一路,DeepSeek概念股,TMT,科创企业同股同权,纳入富时罗素,大数据,金融科技,华为欧拉",9.62,2.56,0.24,9.8,9.3,3.63,1.36,26521286.0,255349609.58,0.07,78.15,7026949904.26,计算机-软件开发-垂直应用软件,核心供应商
300349,金卡智能,浙江,创业板,"芯片概念,华为海思概念,华为概念,储能概念,华为星闪概念,破净股,人工智能,量子通信,物联网,阿里概念,云计算,数据要素,融资融券,行业龙头,深股通,油改概念,转融券标的,智慧城市,氢能源,华为鸿蒙,仪器仪表概念,DeepSeek概念股,科创企业同股同权,传感器,地下管网,大数据",10.16,2.32,0.23,10.31,10.02,2.1,1.5,7756607.0,78654099.05,2.46,42.39,3756351674.48,机械设备-通用设备-仪器仪表,核心供应商/行业龙头
300351,永贵电器,浙江,创业板,"海工装备,5G概念,液冷超充,新能源车,华为概念,军民融合,储能概念,机器人概念,共封装光模块(CPO）,卫星互联网,军工,风电概念,低空经济,融资融券,华为汽车,液冷概念,深股通,转融券标的,充电桩,无人机,数据中心,智元机器人,铁路基建,换电概念,人形机器人,光纤概念,比亚迪概念,锂电池概念,快充概念,一带一路,轨道交通,TMT,高铁,科创企业同股同权,含可转债",13.55,2.19,0.29,13.8,13.5,3.94,0.86,10383575.0,141638075.01,0.3,52.7,3569309265.9,机械设备-轨交设备Ⅱ-轨交设备Ⅲ,核心供应商
300352,ST信源,北京,创业板,"财税改革,区块链,华为算力,远程办公,数字经济,工业互联网,脑科学(脑机接口),MLOps概念,华为概念,军民融合,互联网金融,信创,VPN,ChatGPT,百度概念,智能家居,国产操作系统,人工智能,量子通信,物联网,华为鲲鹏,卫星互联网,云计算,军工信息化,数据安全,军工,ST概念,智慧政务,安防概念,数字水印,低空经济,数字货币,智能制造,低价股,智慧城市,网络安全,华为鸿蒙,国产软件,语音技术,DeepSeek概念股,TMT,科创企业同股同权,OpenClaw概念,纳入富时罗素,大数据",2.32,4.04,0.09,2.34,2.26,1.71,0.78,21880550.0,50472160.0,-,33.64,2960613800.16,计算机-软件开发-垂直应用软件,核心供应商
300353,东土科技,北京,创业板,"半导体产业,EDA设计软件,页岩气,芯片概念,新型工业化,交换机,物理AI,边缘计算,国产操作系统,物联网,机器人概念,车联网(车路协同),军工,风电概念,融资融券,转融券标的,工业4.0,无人机,智能制造,商业航天,网络安全,数据中心,智能电网,股权激励,汽车芯片,科创企业同股同权,大数据,华为欧拉,5G概念,工业母机,工业互联网,华为概念,军民融合,信创,储能概念,核电概念,人工智能,并购重组,军工信息化,雄安新区,大飞机,虚拟电厂,深股通,智慧城市,股权转让,机器视觉,人形机器人,工业自动化,高铁,智能交通,TMT,快递物流",17.63,6.14,1.02,18.11,17.09,3.69,1.44,19948905.0,351531561.23,-,108.41,9521279784.61,通信-通信设备-其他通信设备,核心供应商
300354,东华测试,江苏,创业板,"雅鲁藏布江水电站,专精特新,工业互联网,水利建设,新型工业化,华为概念,军民融合,深海科技,固态电池,核电概念,人工智能,超级电容,物联网,天然气,机器人概念,数据要素,军工,风电概念,航空发动机,大飞机,深股通,房屋检测,商业航天,人形机器人,航天装备概念,仪器仪表概念,DeepSeek概念股,股权激励,TMT,科创企业同股同权,传感器,盾构机",29.04,1.22,0.35,29.32,28.68,1.97,0.88,1602300.0,46469767.04,0.69,40.17,2361213911.76,机械设备-通用设备-仪器仪表,专精特新/核心供应商
300357,我武生物,浙江,创业板,"专精特新,医疗器械概念,融资融券,深股通,转融券标的,生物医药,化妆品概念,独家药品概念,干细胞,人工智能,科创企业同股同权,健康中国,智能医疗,创新药,纳入富时罗素,MSCI概念",23.44,-0.93,-0.22,23.73,23.32,1.07,0.71,5166597.0,121340674.18,1.07,122.73,11342948965.2,医药生物-生物制品-其他生物制品,专精特新
300359,全通教育,广东,创业板,"创投,三胎概念,政府控股,职业教育,在线教育,横琴新区,人工智能,服务消费,科创企业同股同权,教育信息化,华为概念",4.41,-4.13,-0.19,4.59,4.15,11.83,2.23,74947596.0,328386394.28,-,27.93,2792860483.77,社会服务-教育-培训教育,核心供应商
300360,炬华科技,,,,12.33,0.08,0.01,12.44,12.24,1.29,1.15,6477803.0,80038084.98,4.87,63.4,6168410934.21,电力设备-电网设备-电工仪器仪表,核心供应商
300364,中文在线,北京,创业板,"爱奇艺概念,区块链,词元概念,乡村振兴,数字经济,抖音概念,网络游戏,知识产权保护,文创玩具(谷子经济),昨日高换手,腾讯概念,文化传媒概念,AIGC,阿里概念,数据要素,融资融券,转融券标的,盲盒,数据确权,Web3.0,动漫概念,DeepSeek概念股,股权激励,科创企业同股同权,Gemini多模态,虚拟现实（VR）,Sora概念(文生视频),MR头显,职业教育,出海50,元宇宙,今日头条概念,数字乡村,华为概念,京津冀一体化,ChatGPT,影视传媒,百度概念,在线教育,人工智能,AI语料,短剧/互动游戏,NFT文交所,深股通,数字中国,快手概念,教育信息化,小盘股,华为鸿蒙,虚拟数字人,TMT",24.83,20.01,4.14,24.83,21.2,13.21,1.86,87244015.0,2053546629.28,-,180.89,16398364494.59,传媒-出版-大众出版,核心供应商
300365,恒华科技,北京,创业板,"雅鲁藏布江水电站,区块链,职业教育,数字经济,工业互联网,燃料电池概念,水利建设,光伏高速公路,MLOps概念,华为概念,信创,电力物联网,储能概念,京津冀一体化,在线教育,人工智能,物联网,QFII重仓,云计算,数据要素,智慧政务,风电概念,空间计算,分拆上市预期,低空经济,虚拟电厂,东数西算/算力,无人机,算电协同,特高压,智慧城市,碳交易,养老概念,数据中心,氢能源,华为鸿蒙,国产软件,AI编程,机器视觉,换电概念,一带一路,智能电网,时空大数据,DeepSeek概念股,TMT,科创企业同股同权,碳中和,大数据",4.73,2.6,0.12,4.77,4.65,2.5,1.04,12814000.0,60505519.0,-,28.37,2420457438.41,计算机-软件开发-垂直应用软件,核心供应商
300366,ST创意,四川,创业板,"全息技术,华为算力,5G概念,数字经济,元宇宙,数字乡村,MLOps概念,AI智能体,华为概念,信创,华为昇腾,电力物联网,边缘计算,国产操作系统,人工智能,物联网,阿里概念,毫米波,华为鲲鹏,卫星互联网,数据要素,云计算,军工,数据安全,智慧政务,ST概念,军工信息化,东数西算/算力,数字中国,商业航天,智慧城市,网络安全,国产软件,智能电网,DeepSeek概念股,科创企业同股同权,TMT,智谱AI,大数据,华为欧拉",4.5,5.63,0.24,4.52,4.29,2.12,2.11,11221900.0,49607066.0,-,27.34,2387261205.0,计算机-软件开发-垂直应用软件,核心供应商
300368,汇金股份,河北,创业板,"区块链,高商誉,征信,华为概念,互联网金融,信创,京津冀一体化,算力租赁,并购重组,无人零售,机器人概念,云计算,风电概念,雄安新区,政府控股,数字货币,深股通,智慧城市,数据中心,股权转让,国产软件,国企改革,无人银行,科创企业同股同权,TMT,金融科技",9.11,1.0,0.09,9.39,8.78,8.87,1.04,46891700.0,430125726.0,-,48.19,4818675057.25,计算机-计算机设备-其他计算机设备,核心供应商
300369,绿盟科技,北京,创业板,"区块链,华为算力,工业互联网,MLOps概念,华为概念,独角兽概念,腾讯概念,信创,京津冀一体化,国产操作系统,人工智能,AI语料,阿里概念,华为鲲鹏,云计算,数据要素,智慧政务,数据安全,车联网(车路协同),数字水印,融资融券,东数西算/算力,转融券标的,深股通,智能制造,昨日触板,网络安全,数据中心,国产软件,DeepSeek概念股,TMT,科创企业同股同权,纳入富时罗素,华为欧拉",7.44,13.41,0.88,7.87,6.61,18.33,1.86,148056749.0,1087176346.24,-,60.31,6009309263.52,计算机-软件开发-横向通用软件,核心供应商
300370,安控科技,,,,2.08,1.96,0.04,2.1,2.05,1.36,1.0,21274367.0,44167959.36,-,32.56,3247857774.72,机械设备-通用设备-仪器仪表,核心供应商
300371,汇中股份,河北,创业板,"专精特新,雄安新区,微盘股概念,水利建设,智慧城市,华为概念,核电概念,仪器仪表概念,人工智能,DeepSeek概念股,科创企业同股同权,物联网,传感器",10.05,5.13,0.49,10.06,9.46,2.82,1.65,3948948.0,38942058.56,0.99,20.22,1406956403.1,机械设备-通用设备-仪器仪表,专精特新/核心供应商
300373,扬杰科技,江苏,创业板,"集成电路概念,半导体产业,半导体材料概念,中盘股,5G概念,新能源车,特斯拉,芯片概念,第三代半导体,氮化镓,宁德时代概念,华为概念,小米概念,IGBT,固态电池,储能概念,中芯国际概念,低空经济,融资融券,华为汽车,深股通,充电桩,转融券标的,无人机,碳化硅,数据中心,光伏概念,英伟达概念,新材料,小米汽车,人形机器人,太阳能概念,快充概念,比亚迪概念,碳基半导体,汽车芯片,TMT,科创企业同股同权,纳入富时罗素",83.92,2.43,1.99,90.0,83.89,3.74,1.22,20270612.0,1768811752.65,1.1,455.98,45496251171.2,电子-半导体-分立器件,核心供应商
300376,易事特,广东,创业板,"钠离子电池,集成电路概念,半导体产业,新疆振兴,特斯拉,芯片概念,氮化镓,宁德时代概念,磁悬浮,电力物联网,边缘计算,抽水蓄能,军工,风电概念,政府控股,液冷概念,热泵,东数西算/算力,商业航天,特高压,碳化硅,数据中心,光伏概念,国企改革,太阳能概念,快充概念,智能电网,科创企业同股同权,纳入富时罗素,大数据,5G概念,液冷超充,新能源车,数字乡村,第三代半导体,华为概念,军民融合,高低压设备概念,粤港澳自贸区,储能概念,人工智能,虚拟电厂,充电桩,深股通,摘帽,智慧城市,氢能源,股权转让,国产软件,换电概念,比亚迪概念,ETC,锂电池概念,轨道交通",4.68,1.96,0.09,4.75,4.62,1.03,1.13,24003869.0,113002311.73,0.04,108.96,10892395336.68,电力设备-其他电源设备Ⅱ-其他电源设备Ⅲ,核心供应商
300377,赢时胜,广东,创业板,"区块链,深圳特区,华为概念,腾讯概念,华为昇腾,信创,互联网金融,粤港澳自贸区,人工智能,阿里概念,机器人概念,华为鲲鹏,融资融券,数字货币,转融券标的,深股通,股权转让,国产软件,Web3.0,蚂蚁金服概念,证券IT,DeepSeek概念股,TMT,科创企业同股同权,纳入富时罗素,大数据,金融科技",14.14,3.44,0.47,14.4,13.5,6.8,1.34,46974908.0,663868661.8,-,106.19,9769638592.98,计算机-软件开发-垂直应用软件,核心供应商
300378,鼎捷数智,上海,创业板,"华为算力,C2M概念,数字经济,工业互联网,抖音概念,ERP概念,芯片概念,AI智能体,新型工业化,华为概念,创投,信创,ChatGPT,百度概念,AI应用,人工智能,富士康概念,透明工厂,阿里概念,华为鲲鹏,云计算,数据要素,数据安全,融资融券,深股通,转融券标的,虚拟机器人,工业4.0,智能制造,昨日触板,数字中国,国产软件,工业自动化,新零售,DeepSeek概念股,TMT,科创企业同股同权,Gemini多模态,含可转债,大数据",33.72,16.84,4.86,34.63,28.01,14.58,4.0,39295849.0,1291760451.7,0.37,91.57,9087983822.64,计算机-软件开发-横向通用软件,核心供应商
300380,安硕信息,上海,创业板,"数字货币,数字经济,深股通,数字中国,征信,华为概念,华为鸿蒙,腾讯概念,国产软件,信创,互联网金融,百度概念,人工智能,DeepSeek概念股,科创企业同股同权,TMT,RWA,数据要素,金融科技",30.35,3.69,1.08,31.0,28.9,3.77,1.68,4807540.0,145914884.64,0.33,42.02,3865544230.05,计算机-软件开发-垂直应用软件,核心供应商
300382,斯莱克,江苏,创业板,"专精特新,融资融券,C2M概念,深股通,转融券标的,工业互联网,工业4.0,新能源车,特斯拉,智能制造,宁德时代概念,光伏概念,储能概念,机器视觉,人形机器人,锂电池概念,股权激励,科创企业同股同权,减速器,机器人概念,包装印刷概念",12.54,1.21,0.15,12.68,12.16,3.08,0.69,19963496.0,247837338.95,-,81.31,8130161303.88,机械设备-专用设备-其他专用设备,专精特新/核心供应商
300383,光环新网,北京,创业板,"区块链,词元概念,数字经济,工业互联网,抖音概念,今日头条概念,华为概念,华为昇腾,京津冀一体化,算力租赁,VPN,百度概念,MSCI概念,华为鲲鹏,IT服务概念,云计算,融资融券,液冷概念,摩尔线程概念,东数西算/算力,深股通,转融券标的,数字中国,数据中心,小盘股,REITs,DeepSeek概念股,科创企业同股同权,TMT,纳入富时罗素,大数据",13.52,5.13,0.66,14.15,13.2,7.55,1.97,135397561.0,1851235519.27,0.15,243.03,24259053177.84,通信-通信服务-通信应用增值服务,核心供应商
300384,三联虹普,北京,创业板,"华为算力,数字经济,深股通,工业互联网,可降解塑料,垃圾分类,智能制造,征信,AI智能体,华为概念,创投,互联网金融,华为昇腾,工业自动化,煤化工概念,人工智能,科创企业同股同权,机器人概念,大数据,金融科技",12.27,0.9,0.11,12.36,12.05,1.97,1.24,4334000.0,53079577.0,1.47,39.14,2700792510.03,建筑装饰-专业工程-化学工程,核心供应商
300385,ST雪浪,江苏,创业板,"ST概念,固废处理,股权转让,政府控股,专精特新,医废处理,国企改革,昨日高振幅,垃圾发电,科创企业同股同权,节能环保",11.14,8.16,0.84,11.37,10.4,2.73,1.46,7929000.0,87178148.0,-,37.11,3237981731.62,环保-环境治理-大气治理,专精特新
300386,飞天诚信,,,,10.21,3.03,0.3,10.37,9.99,2.67,1.17,6697700.0,68316191.0,0.1,42.68,2560235637.13,计算机-计算机设备-其他计算机设备,核心供应商
300389,艾比森,广东,创业板,"LED概念,数字经济,深股通,节能照明,巴黎奥运会概念,超高清视频,足球概念,世界杯,深圳特区,柔性屏,华为概念,创投,储能概念,MicroLED,TMT,科创企业同股同权,虚拟现实（VR）,MiniLED",12.12,3.59,0.42,12.14,11.8,2.77,1.48,6074788.0,73263686.76,1.65,44.73,2659581336.48,电子-光学光电子-LED,核心供应商
300390,天华新能,江苏,创业板,"半导体产业,中盘股,病毒防治,新能源车,芯片概念,智能汽车,宁德时代概念,华为概念,固态电池,储能概念,中芯国际概念,小金属概念,健康中国,并购重组,医疗器械概念,融资融券,深股通,转融券标的,口罩,锂矿,磷酸铁锂,锂电池概念,26中报业绩反转,股权激励,存储器,科创企业同股同权,TMT,纳入富时罗素",54.23,-0.09,-0.05,57.53,54.23,5.27,0.95,35423153.0,1978330517.52,-,450.52,36457070917.63,电力设备-电池-电池化学品,核心供应商
300393,中来股份,江苏,创业板,"BC电池,政府控股,融资融券,转融券标的,深股通,虚拟电厂,钙钛矿电池,华为概念,光伏概念,国企改革,太阳能概念,TMT,科创企业同股同权,TOPCon电池,BIPV概念(光伏建筑一体化)",5.83,2.64,0.15,5.97,5.72,2.6,1.24,24890752.0,145891522.25,-,63.53,5572926441.5,电力设备-光伏设备-光伏电池组件,核心供应商
300394,天孚通信,江苏,创业板,"激光雷达,光芯片,专精特新,5G概念,融资融券,深股通,转融券标的,大盘股,高价股,华为概念,数据中心,英伟达概念,光通信,谷歌概念,光纤概念,无人驾驶,先进封装(Chiplet),科创企业同股同权,TMT,纳入富时罗素,共封装光模块(CPO）",180.5,5.55,9.49,187.5,168.5,5.14,1.24,55997780.0,10029332107.86,0.47,1968.94,196454043025.0,通信-通信设备-通信网络设备及器件,专精特新/核心供应商
300397,天和防务,陕西,创业板,"5G概念,海工装备,芯片概念,华为概念,军民融合,深海科技,高带宽存储器HBM,通用航空,人工智能,量子通信,无人驾驶,先进封装(Chiplet),机器人概念,车联网(车路协同),军工信息化,军工,安防概念,毫米波雷达,低空经济,融资融券,东数西算/算力,转融券标的,深股通,无人机,智慧城市,数据中心,智慧灯杆,太赫兹,时空大数据,科创企业同股同权,传感器",10.18,3.35,0.33,10.37,10.0,4.99,1.18,20375032.0,207686743.56,-,52.7,4155097456.7,国防军工-军工电子Ⅱ-军工电子Ⅲ,核心供应商
300398,飞凯材料,,,,31.47,1.52,0.47,34.34,31.36,9.35,1.2,53020065.0,1755794013.65,0.36,179.39,17841508680.27,电子-电子化学品Ⅱ-电子化学品Ⅲ,核心供应商
300399,天利科技,,,,17.23,2.68,0.45,17.67,16.29,3.29,1.46,6505500.0,112260208.0,0.29,34.05,3404315891.75,计算机-IT服务Ⅱ-IT服务Ⅲ,核心供应商
300400,劲拓股份,广东,创业板,"MR头显,半导体产业,指纹识别,芯片概念,第三代半导体,深圳特区,柔性屏,新型工业化,华为概念,人工智能,OLED,先进封装(Chiplet),富士康概念,电子纸,半导体设备概念,深股通,超高清视频,智能制造,苹果概念,PCB概念,机器视觉,消费电子产业,工业自动化,比亚迪概念,科创企业同股同权,3D玻璃,MiniLED",20.9,4.92,0.98,22.3,20.87,6.29,1.29,15215900.0,328648313.0,1.96,50.71,5053912600.0,机械设备-自动化设备-其他自动化设备,核心供应商
300401,花园生物,浙江,创业板,"人民币贬值受益,仿制药一致性评价,专精特新,合成生物,融资融券,深股通,食品饮料概念,转融券标的,科创企业同股同权,纳入富时罗素,含可转债,维生素",12.55,1.05,0.13,12.97,12.4,3.92,0.63,21034644.0,264164218.99,0.9,68.37,6727181130.95,医药生物-化学制药-原料药,专精特新
300402,宝色股份,江苏,创业板,"军工,政府控股,专精特新,航空发动机,海工装备,有色金属概念,硅锰,深股通,钍基熔盐堆,光热发电,污水处理,光伏概念,深海科技,新材料,国企改革,铜概念,核电概念,特钢概念,小金属概念,科创企业同股同权,钛,高端合金",14.67,3.67,0.52,14.69,14.25,1.67,1.4,4062195.0,59027633.8,-,36.2,3573883350.99,机械设备-通用设备-金属制品,专精特新
300404,博济医药,广东,创业板,"CRO,细胞免疫治疗,专精特新,新冠检测,病毒防治,脑科学(脑机接口),生物医药,肝炎概念,中药概念,新冠药物,人工智能,干细胞,股权激励,DeepSeek概念股,减肥药,科创企业同股同权,健康中国,创新药,智能医疗,幽门螺杆菌概念,阿尔茨海默概念",9.22,0.77,0.07,9.35,9.06,3.89,0.58,11111100.0,102220778.0,0.14,35.57,2632453942.64,医药生物-医疗服务-医疗研发外包,专精特新
300405,科隆股份,辽宁,创业板,"集成电路概念,半导体产业,稀土永磁,专精特新,海工装备,微盘股概念,水利建设,芯片概念,节能环保,汽车检测,装配式建筑,建筑节能概念,氢能源,锂电池概念,石墨烯,碳基半导体,科创企业同股同权",5.34,5.33,0.27,5.39,5.04,4.93,1.23,10798700.0,56399181.9,-,15.19,1168516737.06,基础化工-化学制品-其他化学制品,专精特新
300406,九强生物,北京,创业板,"新冠抗原检测,政府控股,新冠检测,专精特新,医疗器械概念,融资融券,转融券标的,深股通,病毒防治,体外诊断概念,生物医药,高股息100,病毒检测,央企央资,人工智能,健康中国,科创企业同股同权,智能医疗,纳入富时罗素,幽门螺杆菌概念,含可转债",11.75,0.94,0.11,11.8,11.53,1.39,1.26,5906900.0,69195653.0,10.15,68.87,4985327282.75,医药生物-医疗器械-体外诊断,专精特新
300407,凯发电气,天津,创业板,"雄安新区,专精特新,职业教育,充电桩,垃圾分类,智慧城市,铁路基建,磁悬浮,信创,京津冀一体化,一带一路,智能电网,无人驾驶,轨道交通,高铁,科创企业同股同权,机器人概念",12.27,7.73,0.88,13.09,10.91,16.44,1.32,42595406.0,518746750.33,0.64,42.51,3178829464.62,电力设备-电网设备-电网自动化设备,专精特新/核心供应商
300408,三环集团,广东,创业板,"有色金属概念,5G概念,指纹识别,燃料电池概念,芯片概念,华为概念,小米概念,智能穿戴,振荡器,光通信,自主可控,手机产业,AH股,MLCC,MSCI概念,共封装光模块(CPO）,半导体设备概念,陶瓷基板,融资融券,转融券标的,深股通,高价股,大盘股,被动元件概念,数据中心,有色(锆),新材料,消费电子产业,光纤概念,科创企业同股同权,TMT,纳入富时罗素,白马股",111.68,6.06,6.38,121.54,111.51,5.61,1.32,104950159.0,12331282794.37,0.4,2220.04,215040421315.37,电子-元件-被动元件,核心供应商
300409,道氏技术,,,,18.16,3.59,0.63,18.39,17.68,4.91,1.28,34171271.0,620909797.1,1.36,142.06,12643105608.96,电力设备-电池-电池化学品,核心供应商
